goos: linux
goarch: amd64
pkg: github.com/LovekushSharma71/unghost
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkRawTCP4K-2       	  181726	      7590 ns/op	 539.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP4K-2       	  140382	      8096 ns/op	 505.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP4K-2       	  187179	     11611 ns/op	 352.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   42816	     26565 ns/op	2467.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   49183	     27008 ns/op	2426.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   39369	     29966 ns/op	2187.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   40651	     28126 ns/op	2330.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   45418	     30165 ns/op	2172.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   47430	     33631 ns/op	1948.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   53274	     25641 ns/op	2555.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   44257	     27631 ns/op	2371.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   44205	     24533 ns/op	2671.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP64K-2      	   44490	     31881 ns/op	2055.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4357	    280652 ns/op	3736.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    3388	    302318 ns/op	3468.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4336	    298039 ns/op	3518.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4398	    300280 ns/op	3491.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4147	    273847 ns/op	3829.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4497	    280258 ns/op	3741.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    3897	    301595 ns/op	3476.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4045	    297766 ns/op	3521.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    3681	    356612 ns/op	2940.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP1MB-2      	    4154	    303415 ns/op	3455.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2230	    553043 ns/op	3792.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2205	    548123 ns/op	3826.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2239	    538752 ns/op	3892.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2073	    583015 ns/op	3597.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2031	    552405 ns/op	3796.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2282	    510090 ns/op	4111.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2238	    529625 ns/op	3959.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2085	    556459 ns/op	3768.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2229	    654215 ns/op	3205.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkRawTCP2MB-2      	    2107	    564094 ns/op	3717.73 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/LovekushSharma71/unghost	484.220s
